Address,Price,ML_Price_Estimate,Price_$,ML_Price_Estimate_$
49 Lithgow St,1490000.0,1407172.6998273735,"$1,490,000","$1,407,173"
59A Turner St,1220000.0,1407172.6998273735,"$1,220,000","$1,407,173"
119B Yarra St,1420000.0,1407172.6998273735,"$1,420,000","$1,407,173"
68 Vida St,1515000.0,1173233.829607686,"$1,515,000","$1,173,234"
92 Clydesdale Rd,670000.0,849078.1900876255,"$670,000","$849,078"
4/32 Earl St,530000.0,681267.0508389857,"$530,000","$681,267"
3/74 Hawker St,540000.0,522072.9088900451,"$540,000","$522,073"
1/26 Highridge Cr,715000.0,923508.3429778871,"$715,000","$923,508"
18 Mills St,1925000.0,1767220.0098740293,"$1,925,000","$1,767,220"
3/15 Drummartin St,515000.0,556696.7205382492,"$515,000","$556,697"
3A Kororoit St,717000.0,824063.143522567,"$717,000","$824,063"
55 Fulham Rd,1675000.0,1009205.2961052228,"$1,675,000","$1,009,205"
41 Toolangi Rd,2008000.0,1554391.2750482333,"$2,008,000","$1,554,391"
9 Delmont Av,860000.0,771848.7834087677,"$860,000","$771,849"
14 Seventh Av,720000.0,904168.4380271952,"$720,000","$904,168"
2/23 Ashleigh Rd,836000.0,669647.1197899046,"$836,000","$669,647"
6A Auburn Gr,2110000.0,1410627.4068031718,"$2,110,000","$1,410,627"
746 High St,1386000.0,1710267.931618435,"$1,386,000","$1,710,268"
14/25 Kooyong Rd,580000.0,669647.1197899046,"$580,000","$669,647"
6/38 Wattletree Rd,355000.0,460081.95968555455,"$355,000","$460,082"
8 The Grove,1123100.0,1213687.181414088,"$1,123,100","$1,213,687"
1/48 Karnak Rd,1270000.0,1002742.23721913,"$1,270,000","$1,002,742"
61A Victory Bvd,1610000.0,1192930.456851252,"$1,610,000","$1,192,930"
43 Douglas St,1435000.0,1439273.0592086934,"$1,435,000","$1,439,273"
4 Jirrah Ct,1431000.0,1008436.4215361293,"$1,431,000","$1,008,436"
8 Mangrove Ct,996000.0,1008436.4215361293,"$996,000","$1,008,436"
12 Duke St,825000.0,1211231.3202645585,"$825,000","$1,211,231"
104/29 Belgrove Av,660800.0,654482.3215813743,"$660,800","$654,482"
2/362 Belmore Rd,700000.0,928390.204151911,"$700,000","$928,390"
9 Kenilworth St,2700000.0,2573749.5512737846,"$2,700,000","$2,573,750"
4 Lynch Ct,2035000.0,1732809.8200551216,"$2,035,000","$1,732,810"
4/40 Northcote Av,955000.0,1102538.4341636265,"$955,000","$1,102,538"
306 Union Rd,1810000.0,2172091.625231597,"$1,810,000","$2,172,092"
3 Abbott St,1850000.0,1924079.0925502179,"$1,850,000","$1,924,079"
203 Belmore Rd,2600000.0,1924079.0925502179,"$2,600,000","$1,924,079"
56 Clifton St,1220000.0,1533935.9455880367,"$1,220,000","$1,533,936"
9 Cumberland Av,2470000.0,1924079.0925502179,"$2,470,000","$1,924,079"
2/4 Maylands Av,800000.0,626111.4303234199,"$800,000","$626,111"
8 Wattle Rd,880000.0,828263.9042925909,"$880,000","$828,264"
500 Balcombe Rd,1285000.0,1585774.2062999022,"$1,285,000","$1,585,774"
2/58 Haydens Rd,835000.0,711458.1528409774,"$835,000","$711,458"
6 haywood St,1445000.0,1585774.2062999022,"$1,445,000","$1,585,774"
39 White St,1435000.0,1585774.2062999022,"$1,435,000","$1,585,774"
1/15 Toohey St,675000.0,722150.7736386871,"$675,000","$722,151"
4b Hobart St,1300000.0,1327540.169619656,"$1,300,000","$1,327,540"
36a Marquis Rd,1500000.0,1327540.169619656,"$1,500,000","$1,327,540"
5 Mortimore St,1340000.0,1168452.766658138,"$1,340,000","$1,168,453"
40 Castlewood St,1400000.0,1133397.6445254476,"$1,400,000","$1,133,398"
35 Highview Rd,775000.0,805532.9889377499,"$775,000","$805,533"
5A MacKie Rd,920000.0,990530.3711129711,"$920,000","$990,530"
103 Marlborough St,1220000.0,966139.130323845,"$1,220,000","$966,139"
66 Paloma St,1130000.0,966139.130323845,"$1,130,000","$966,139"
45 Waratah St,1460000.0,1367439.9111538953,"$1,460,000","$1,367,440"
38 Ardoyne St,3000000.0,1649777.0861693593,"$3,000,000","$1,649,777"
28 Elmhurst Rd,1200000.0,1316367.8605574912,"$1,200,000","$1,316,368"
16 Peacedale Gr,1410000.0,1316367.8605574912,"$1,410,000","$1,316,368"
4 Rosalind Cr,1110000.0,1098066.318206781,"$1,110,000","$1,098,066"
53 Morrie Cr,960000.0,1218677.4174819514,"$960,000","$1,218,677"
3 Sheila St,1090000.0,1346276.6291977065,"$1,090,000","$1,346,277"
47A Canora St,980000.0,1000375.875131243,"$980,000","$1,000,376"
34 Lawrence St,1925000.0,1218677.4174819514,"$1,925,000","$1,218,677"
1/15 Vicki St,710000.0,803992.8616534935,"$710,000","$803,993"
470 Station St,985000.0,957904.8384851041,"$985,000","$957,905"
12/20 Ashted Rd,420000.0,664734.3069676687,"$420,000","$664,734"
4/231 Ballarat Rd,500500.0,841387.830197511,"$500,500","$841,388"
30 Cremorne St,490000.0,744094.9720580227,"$490,000","$744,095"
2/1 Hancock Cr,500000.0,553320.5109216999,"$500,000","$553,321"
435 New St,2250000.0,2330395.172362617,"$2,250,000","$2,330,395"
75 Marriage Rd,1958000.0,1462763.491654876,"$1,958,000","$1,462,763"
81 Marriage Rd,2137000.0,1820580.3512251263,"$2,137,000","$1,820,580"
3 Sunlight Cr,2975000.0,1820580.3512251263,"$2,975,000","$1,820,580"
145 Graham St,457000.0,620993.4340568832,"$457,000","$620,993"
53 Amelia St,740000.0,955648.1097266836,"$740,000","$955,648"
2 Cassels Rd,900000.0,1144000.860461169,"$900,000","$1,144,001"
70 Gold St,1250000.0,1472325.994018756,"$1,250,000","$1,472,326"
27 Hanover St,1225000.0,955648.1097266836,"$1,225,000","$955,648"
10 Lanark St,1120000.0,1144000.860461169,"$1,120,000","$1,144,001"
9/4 Mitchell St,560000.0,686999.6116231367,"$560,000","$687,000"
9 Pitt St,1685000.0,1144000.860461169,"$1,685,000","$1,144,001"
301/34 Union St,625000.0,505881.3536266686,"$625,000","$505,881"
217 Glenlyon Rd,1470000.0,1326582.138259201,"$1,470,000","$1,326,582"
1/164 Nicholson St,860000.0,1053031.2207047513,"$860,000","$1,053,031"
370 Albion St,900000.0,901484.3856495764,"$900,000","$901,484"
5/21 Everett St,398000.0,495347.71030592336,"$398,000","$495,348"
7/28 McLean St,576000.0,945114.466405939,"$576,000","$945,114"
