Address,Price,ML_Price_Estimate,Price_$,ML_Price_Estimate_$
49 Lithgow St,1490000.0,1438514.0703537487,"$1,490,000","$1,438,514"
59A Turner St,1220000.0,1438514.0703537487,"$1,220,000","$1,438,514"
119B Yarra St,1420000.0,1438514.0703537487,"$1,420,000","$1,438,514"
68 Vida St,1515000.0,1127121.6033096465,"$1,515,000","$1,127,122"
92 Clydesdale Rd,670000.0,762216.667728868,"$670,000","$762,217"
4/32 Earl St,530000.0,605503.7290418327,"$530,000","$605,504"
3/74 Hawker St,540000.0,528780.4810432459,"$540,000","$528,780"
1/26 Highridge Cr,715000.0,863573.3921469795,"$715,000","$863,573"
18 Mills St,1925000.0,1898749.3368132948,"$1,925,000","$1,898,749"
3/15 Drummartin St,515000.0,557605.3319310208,"$515,000","$557,605"
3A Kororoit St,717000.0,740364.6997708277,"$717,000","$740,365"
55 Fulham Rd,1675000.0,998474.712166661,"$1,675,000","$998,475"
41 Toolangi Rd,2008000.0,1549533.0502768187,"$2,008,000","$1,549,533"
9 Delmont Av,860000.0,781122.1308113519,"$860,000","$781,122"
14 Seventh Av,720000.0,829020.072699387,"$720,000","$829,020"
2/23 Ashleigh Rd,836000.0,632986.1836084062,"$836,000","$632,986"
6A Auburn Gr,2110000.0,1455917.8400123864,"$2,110,000","$1,455,918"
746 High St,1386000.0,1862331.6641350708,"$1,386,000","$1,862,332"
14/25 Kooyong Rd,580000.0,632986.1836084062,"$580,000","$632,986"
6/38 Wattletree Rd,355000.0,388648.11473332834,"$355,000","$388,648"
8 The Grove,1123100.0,1230017.0583853195,"$1,123,100","$1,230,017"
1/48 Karnak Rd,1270000.0,954590.3674332778,"$1,270,000","$954,590"
61A Victory Bvd,1610000.0,1242681.1770972584,"$1,610,000","$1,242,681"
43 Douglas St,1435000.0,1441012.894400524,"$1,435,000","$1,441,013"
4 Jirrah Ct,1431000.0,1059376.662465205,"$1,431,000","$1,059,377"
8 Mangrove Ct,996000.0,1026083.1402231306,"$996,000","$1,026,083"
12 Duke St,825000.0,1064730.8676268945,"$825,000","$1,064,731"
104/29 Belgrove Av,660800.0,689774.0587910771,"$660,800","$689,774"
2/362 Belmore Rd,700000.0,849549.2603291473,"$700,000","$849,549"
9 Kenilworth St,2700000.0,2699458.483226192,"$2,700,000","$2,699,458"
4 Lynch Ct,2035000.0,1721605.2769220383,"$2,035,000","$1,721,605"
4/40 Northcote Av,955000.0,1078017.9127380142,"$955,000","$1,078,018"
306 Union Rd,1810000.0,2234936.941104651,"$1,810,000","$2,234,937"
3 Abbott St,1850000.0,1915074.3028151256,"$1,850,000","$1,915,074"
203 Belmore Rd,2600000.0,1915074.3028151256,"$2,600,000","$1,915,074"
56 Clifton St,1220000.0,1522944.8402420261,"$1,220,000","$1,522,945"
9 Cumberland Av,2470000.0,1915074.3028151256,"$2,470,000","$1,915,074"
2/4 Maylands Av,800000.0,686728.1545321427,"$800,000","$686,728"
8 Wattle Rd,880000.0,806933.5082205546,"$880,000","$806,934"
500 Balcombe Rd,1285000.0,1767226.719775744,"$1,285,000","$1,767,227"
2/58 Haydens Rd,835000.0,682363.7378168561,"$835,000","$682,364"
6 haywood St,1445000.0,1767226.719775744,"$1,445,000","$1,767,227"
39 White St,1435000.0,1767226.719775744,"$1,435,000","$1,767,227"
1/15 Toohey St,675000.0,767085.3460209605,"$675,000","$767,085"
4b Hobart St,1300000.0,1375335.1928652516,"$1,300,000","$1,375,335"
36a Marquis Rd,1500000.0,1375335.1928652516,"$1,500,000","$1,375,335"
5 Mortimore St,1340000.0,1248349.9498974131,"$1,340,000","$1,248,350"
40 Castlewood St,1400000.0,1130352.333841385,"$1,400,000","$1,130,352"
35 Highview Rd,775000.0,758627.2249370551,"$775,000","$758,627"
5A MacKie Rd,920000.0,963185.4985273605,"$920,000","$963,185"
103 Marlborough St,1220000.0,976013.6329440812,"$1,220,000","$976,014"
66 Paloma St,1130000.0,976013.6329440812,"$1,130,000","$976,014"
45 Waratah St,1460000.0,1362449.2221544008,"$1,460,000","$1,362,449"
38 Ardoyne St,3000000.0,1843290.6536393482,"$3,000,000","$1,843,291"
28 Elmhurst Rd,1200000.0,1410290.9335637952,"$1,200,000","$1,410,291"
16 Peacedale Gr,1410000.0,1410290.9335637952,"$1,410,000","$1,410,291"
4 Rosalind Cr,1110000.0,1144400.7635601892,"$1,110,000","$1,144,401"
53 Morrie Cr,960000.0,1226607.2231907814,"$960,000","$1,226,607"
3 Sheila St,1090000.0,1286160.049332013,"$1,090,000","$1,286,160"
47A Canora St,980000.0,1008537.9249360624,"$980,000","$1,008,538"
34 Lawrence St,1925000.0,1226607.2231907814,"$1,925,000","$1,226,607"
1/15 Vicki St,710000.0,861657.0556288203,"$710,000","$861,657"
470 Station St,985000.0,947345.1746926231,"$985,000","$947,345"
12/20 Ashted Rd,420000.0,642806.1796640994,"$420,000","$642,806"
4/231 Ballarat Rd,500500.0,773016.9114353587,"$500,500","$773,017"
30 Cremorne St,490000.0,744477.6315741698,"$490,000","$744,478"
2/1 Hancock Cr,500000.0,551464.8372774443,"$500,000","$551,465"
435 New St,2250000.0,2481054.2772792913,"$2,250,000","$2,481,054"
75 Marriage Rd,1958000.0,1573139.3263400297,"$1,958,000","$1,573,139"
81 Marriage Rd,2137000.0,2092402.806938902,"$2,137,000","$2,092,403"
3 Sunlight Cr,2975000.0,2092402.806938902,"$2,975,000","$2,092,403"
145 Graham St,457000.0,549964.2797945852,"$457,000","$549,964"
53 Amelia St,740000.0,942606.6498102875,"$740,000","$942,607"
2 Cassels Rd,900000.0,1177944.5031215688,"$900,000","$1,177,945"
70 Gold St,1250000.0,1441466.483561379,"$1,250,000","$1,441,466"
27 Hanover St,1225000.0,942606.6498102875,"$1,225,000","$942,607"
10 Lanark St,1120000.0,1177944.5031215688,"$1,120,000","$1,177,945"
9/4 Mitchell St,560000.0,654563.2492127818,"$560,000","$654,563"
9 Pitt St,1685000.0,1177944.5031215688,"$1,685,000","$1,177,945"
301/34 Union St,625000.0,543833.2060897656,"$625,000","$543,833"
217 Glenlyon Rd,1470000.0,1320020.5548683517,"$1,470,000","$1,320,021"
1/164 Nicholson St,860000.0,1026456.9381616708,"$860,000","$1,026,457"
370 Albion St,900000.0,794446.4258199171,"$900,000","$794,446"
5/21 Everett St,398000.0,513503.2576990103,"$398,000","$513,503"
7/28 McLean St,576000.0,920382.3522579841,"$576,000","$920,382"
33 Newman St,1400000.0,1398155.6286102422,"$1,400,000","$1,398,156"
487 Victoria St,850000.0,1146648.4581178336,"$850,000","$1,146,648"
1 Victoria St,1150000.0,1299927.430508996,"$1,150,000","$1,299,927"
3 Florida Ct,525000.0,558243.4966754545,"$525,000","$558,243"
7 Gordon St,740000.0,855364.8228963366,"$740,000","$855,365"
7/27 Princeton Tce,340000.0,473147.8558182045,"$340,000","$473,148"
12 Andrews St,1265000.0,1512197.3235621843,"$1,265,000","$1,512,197"
26 Cromwell St,1000000.0,1140499.4050216414,"$1,000,000","$1,140,499"
1/451 Highbury Rd,1460000.0,1096695.0550226672,"$1,460,000","$1,096,695"
2/451 Highbury Rd,1200000.0,1096695.0550226672,"$1,200,000","$1,096,695"
19 Lincoln St,935000.0,1173256.8405426033,"$935,000","$1,173,257"
2/2 Sitar Ct,780000.0,838738.344226511,"$780,000","$838,738"
